text,label,logits
"I feel this course was severely misrepresented. This clearly not a beginner level class by any measurement. And the ""4-6 hours"" of expected student involvement is ridiculous. A beginner (NO programming experience) should expect to spend 15 to 20 hours on the first week alone and at least 10 hours for each of the remaining weeks.I have over 25 years of programming experience in Assembly language, Visual Basic, C and C++. I am clearly NOT at the beginner level yet I spent more than 11 hours on the first week, mostly due to trying to download and setup properly for the course. Also, there are over 3 hours of videos in the 1st week plus 3 quizzes and a programming assignment. If anyone spent less than 6 hours on week 1, then that was NOT the first time they took this class.I also am keenly disappointed in the restrictive nature of the assignments/quizzes. Having to type ""-1*1+11"" instead of ""-i+11"" (and you better not have any leading or lagging spaces!!) for instance.Bottom line, I would not recommend this course for anyone wanting to Learn Java for Android Programming unless you already know Java and just want some intro on Android development with Android Studio. And if you are indeed at the beginner level, do yourself a favor and start with introductory courses in Computer Science.",0,"[8.093986198550523, -1.3326267691351463, -1.5774593708857512, -2.0176103926742948, -2.1301891630691747]"
Very boring,0,"[8.705581557951929, -1.9546662250900246, -1.8943799295366124, -1.3027762062269894, -1.4726146593113414]"
"If you are a real beginner like me (having zero or little programming knowledge) and your time is limited, I think this course (or the specialisation) is not suitable for you. The assignments and quizzes are very time consuming. One week I spent literally 30+ hours writing and debugging codes for just one quiz.",0,"[9.373766722928265, -2.0805900194129263, -2.7721124516276894, -2.378887838110214, -1.3988644656918798]"
I wasn't impressed...v few or new material,0,"[9.662408585195918, -1.100719597536886, -2.003607762038093, -1.2394761511910581, -2.5778484824995442]"
"Project description versus requirements were terrible, not sure if the new Coursera format played a role in the issues or not. Quite a few of the homework items require guessing as the answers don't align to the results of the latest tools they have you use. If the first class or three in the series was like this I wouldn't have taken the courses.",0,"[9.504176910931246, -1.221966233531323, -2.5066187704471155, -1.3874853096336839, -1.517776968696019]"
It would be better if the instructors cared to respond to queries.,0,"[9.009875255260727, -2.2445676785982593, -1.6548662451803748, -2.163893995219148, -2.038122062736769]"
Lectures are very boring and designed in a weird way. He is simply reading the book that he wrote and no real practice was ever done.,0,"[8.682819921964224, -2.4958860814962422, -1.6084065899144138, -2.5261896673942315, -1.539611298237311]"
"Using a proprietary library instead of widely used libraries and discouraging the use of open source widely used libraries. It barely compiles, the example notebook has method calls that use non existing methods of the SFrame object.The course claims that it teaches the student how useful practical knowledge but then ends up using a non standard library and saying not to use pandas or scikit learn.",0,"[9.360569682546616, -1.7994902757919333, -2.776653501399914, -2.9500560213098117, -2.642784427583428]"
Speed is very fast for a basic level student. The data explanation and correlation demonstrated is not clear.,0,"[9.13044688840829, -2.016488198949778, -1.0855489357720487, -2.540536793724164, -2.967755045048904]"
Too much emphasis on taking tests versus actually programming.,0,"[9.054719489552255, -2.3316252075153026, -1.4203681404003277, -2.34143063549341, -1.7442758256864355]"
The instructors overly explain simple concepts and talk about programming inbetween makes the course confusing then you get lost and quiz you on stuff that was not properly explaiuned,0,"[9.499002420481894, -1.9122708385674838, -2.310652386920344, -2.3555132026200063, -1.7950279117904173]"
You need to have deep knowledge in matlab to get pass the assignments. I have spent more time figuring out how the simulations are implemented that really learning about the target algorithm to implement.,0,"[9.296330541583353, -2.174408134712731, -2.8094364015225253, -1.2195232181266418, -2.2229816874108383]"
Dearth of any specific / practical tools.,0,"[8.785033142362984, -2.2021820810280595, -2.349188877763747, -1.6505656460033804, -2.5859325655451038]"
"Very poorly presented course. Despite having completed quite a number of coursera courses before, and even being already familiar with a good deal of the preliminary material in this one, i soon abandoned it due to the inadequate and scrappily prepared presentation of material. Mercedes Paniccia in particular speaks in a virtually unintelligible expressionless monotone with no explanation or elaboration to relieve what amounts to little more than a list of definitions and bald statements such as can be found in the glossary section of many textbooks. I would strongly recommend finding an alternative course devoted to the subject or maybe seeking out a readable textbook.",0,"[8.356790520593638, -1.7713357422334002, -2.391768160828201, -1.1466619976441812, -2.367803187729788]"
Misleading course name/title. Was expecting a course on using Excel. Forums were cluttered and not monitored often.,0,"[9.738883905437234, -2.778279215832526, -1.9069940829256538, -2.1041219113482503, -2.439391663373442]"
The least comprehensive course I ever took. It needs very good prerequisite about computer vision. And the demostration was very poor.,0,"[8.20195711676945, -2.189046299315822, -1.113654031353208, -1.34134565868552, -1.4829555728312207]"
I do not like the Course. Too difficult for me. Slides are too full of written lines that professor Navarro simply reads.,0,"[8.357524403896686, -1.154630717159911, -2.353555491521935, -1.9552084995726697, -1.3379992843561366]"
The preceding courses were interesting and helpful. This capstone project lacked substance. The project did not allow itself to apply many of the concepts learned throughout the course. It's almost exclusively about customer analytics. I would not be surprised if Yahoo! worked with Wharton and Coursera to launch this course in order to crowd-source ideas on how to turn around the company.,0,"[9.598762874220888, -1.3521759899223298, -1.4823750224353653, -1.0183922664813074, -1.4216104673929277]"
This specialization is delayed for months now - very annoying! Don't give them money!,0,"[8.424315471155426, -2.6183605604632465, -1.9233577093718408, -2.85482671205426, -2.78132543470387]"
Shame that it was not possible to progress with this course without using graphlab which the creator of this course himself created. Please see the course as just a training sales promotion for his ML application.,0,"[9.491162192755873, -1.0274628625931506, -1.6190470732421416, -1.8698693670984932, -2.0237102259362016]"
The Capstone project has been getting delayed since JanDont expect yourself to complete the specialization,0,"[8.157119658603131, -1.8785211838443336, -2.325798860541993, -1.6977062469026085, -2.793018418431452]"
"It uses mixed material from other platforms meant for pure Python programming learning, jumps between sections in the external platform going forward and back so its pretty confusing to find problems involving content that you have no chance to know if you do not have previous experience with python. I would not recommend this course for beginners in programming.",0,"[8.919808204430279, -2.184312829641389, -2.9553401824702807, -2.4632045640252516, -1.9802203282118984]"
"While the lectures were a little slow about providing information, they were entertaining.But I feel very mislead about the costs. The lecturer repeated over and over how everything is free but, in the end, only the first course in the series is free. Then you must pay a monthly fee in order to go on.I would not have continued with the first course if I'd known that was all there was going to be.",0,"[8.433013820506844, -2.855669612271984, -1.5171921710738063, -2.6232406757418074, -2.9841200837373236]"
"Its ok. HTML is not ""Code"" its a Mark-Up Language. When she cant explain sheo covers it up with attitude words or skips quickly.",0,"[8.117036279548747, -2.909238097820263, -2.7328149648437696, -1.382662143795445, -1.298939542591326]"
"Boring voice. A lot of overcomplicated terms, where you can describe your idea in a much more simple way. In result i feel that lector read this material not to teach people, but just to read it. Disgusting.",0,"[8.577990878809196, -1.2394093809536475, -1.4482494510833024, -2.5052369215696704, -2.386585354966802]"
79 USD? just to be able to submit peer-graded assignments... talk about greed,0,"[8.13900346285818, -1.1751608987538742, -2.0324495068088266, -2.395755165723556, -1.1169058274754438]"
"I would not recommend this course for a few reasons:1. There are no course notes accompanying the video lectures. Transcripts of the lectures in unformatted text files and a glossary are available for download. I really canât figure why the instructor doesnât provide an outline of what key concepts he wants us to learn from each lecture. Also, Iâm surprised that Coursera doesn't require a basic set of learning tools for a paid class, such as lecture notes or an outline. This might be a good class for you if learn well from videos.2. The quizzes contain ambiguously written questions for no good reason.3. Two weeks in and there is little substance. For example, week 2 includes a few Skype videos of the professor interviewing former students from a Duke Masterâs program. They seemed like very intelligent and nice people but the content of the videos offered little value (i.e., nothing new) to someone already working in corporate IT.",0,"[8.017364552339004, -1.3929382814149265, -2.803151306174133, -1.4384158717608924, -1.327403846092895]"
"Extremely repetitive with little to no visual interest. Needs to be cut down to about one tenth the presentation time. There are no visual representations, no exercises and no interactivity.This is the most repetitive MOOC I have ever taken and I've taken a great many.",0,"[8.404504218048723, -1.3108418658919878, -1.3428648478897183, -1.2377756883775757, -2.0075883403856887]"
"This is a bait and switch. You must purchase the course even though parts are free, it's really not.",0,"[8.222518615418393, -1.6187862910061965, -1.0433736023149864, -1.5374505856847998, -1.6192913824447979]"
"This course is very difficult to follow, not because the topics are hard or too technical but mostly due to lecturer's poor job in explaining and creating a narrative.",0,"[8.224009142456337, -2.4393465263378866, -1.014363582097924, -1.6759214449347117, -1.6774057012056691]"
"I have met with nothing but frustration with this course. Though the lectures are understandable, but the readings are comparable but unrelated to the material in the lectures. I also had no kind of communication with instructors, TAs, or other student for help. It is ridiculous that there is NO feedback forums, and this seems to be the only course that handles it that way. If this an institutional decision to not have feedback, it seems that these instructors and/or the University of California, Irvine do not care to help students. I would not recommend this to anyone!",0,"[8.885785055609833, -1.879471982824672, -1.1486592274357588, -1.3225378932320946, -2.6472386851899854]"
Not enough detail and information provided in the lectures to undertake the final assessment.,0,"[9.986351264763837, -2.2512040737775356, -1.872422289328398, -2.3669685225191754, -2.6608892894573173]"
"Huge gap between videos and final assignment.Videos should be edited, we are not interested in trials and errors of the instructors.",0,"[8.115794590644404, -1.4970185062701098, -2.332676358489625, -2.5399499657805458, -2.761647560959655]"
He teaches even worse then me. This course has no practical example. It's just introduction(from start to end).When I enrolled in this course I was expecting that at the end of this course I will be able to develop an app or anything like that. But know I think that I have just wasted my time.,0,"[8.305583767725176, -1.5316871645270804, -1.7451562801091292, -2.188934144512909, -2.9641344176284043]"
"The professor did not Interact with people, I was wiling to see some discussions and contributions among people",0,"[8.146724999251648, -2.7317174258558414, -2.193783970441954, -1.4295378089138848, -1.8489854096436036]"
"Hard to follow, ideas are not organized and are not well presented. Lecturer has many pauses, that even on increased playback speed (x1.25), are still distracting. Do not recommend!",0,"[8.504585926861829, -2.353783320036822, -2.687871472993085, -2.8836979328957852, -2.663460874551385]"
"I had very high hopes for this course. I was actually planning to purchase the specialization - just as a thank you gesture. Unfortunately, there is very little to be grateful for here.In this course, you get a series of super short lectures giving you an overview of the math and physics behind the aerial robotics. I can't be the judge (since I hold a degree in this area), but I don't think you'll be able to get much if you aren't familiar with the topics yet. And you most certainly won't learn anything new if you had some previous training.And then suddenly there are assignments. That have almost nothing to do with the lectures, but require quite a bit of Matlab programming (did I mention you won't be taught any Matlab in the process?) To make things worse, the assignments are rather poorly explained.By the way, you won't get any replies from the course team - they even ignore questions about errors in lectures.The course looks very sloppy. As if someone forced the team to put together something for Coursera. A huge disappointment :(",0,"[9.163571295134194, -2.3867917982137588, -2.987746201428038, -2.0366029334667095, -2.210604302511837]"
waste of time,0,"[8.917152954799453, -1.9931126243117998, -1.9327649506895315, -2.676367199348322, -2.157017620373626]"
"Could not follow very easily. Confused, gained nothing from the lectures. Really no substance to it.",0,"[8.349469696605961, -2.4673002300313227, -2.6800243213123767, -1.2419054693613978, -1.7637913926788737]"
Poor help with instructions. Was trying to install to Linux while reading the video screen as there is little documentation or any actual explanation as to what you're doing. Got to a part where a command on my terminal wouldn't work and given I have no idea how it works to begin with I couldn't debug the issue.Also as a general review of the little of the course I did it's generally considered poor form to just read back what the viewer can see on the screen already when doing presentations. Was disappointed with this course.,0,"[9.80677655826822, -1.5984402020174768, -2.839829326077121, -2.612736109684236, -2.3041030181853155]"
"Rather theoretical introduction to the basics of an interesting subject. Regretfully examples and assignments are frequently overly complex in areas which are unrelated to the subject. In addition, people who work with software development should expect to look further if they aim to add to their toolbox.",0,"[9.143654766646996, -2.637567323444151, -2.719125167578549, -2.249111332442169, -2.9567290179059835]"
"The lectures are very well-organized. The topics are also cover in this field. However, the lectures are very dry and boring. The main professor were reading the scripts on the monitor. From my perspective, with his knowledge in this field as being described on his personal web site, he should be able to talk comfortably by looking at the topic on the slide then discuss about it in detail. I would suggest to change the environment to be at the wide open space, like coffee shop, to make this course more attractive. I'm sorry, it is not what I expected.",0,"[9.901847620765805, -1.7658047956163208, -1.3388038491913175, -2.0837193603969606, -1.8273215365445608]"
"Videos and materials are fine, but insufficient for the quizzes, which are apparently very difficult even for PhDs in the field.",0,"[8.805489723043877, -1.995908456339309, -1.8854757438950733, -2.7257466951529956, -2.985021560213011]"
the videos are too longassignments are difficultand dr asfahani is not like dr larryi loved dr larry much moredr asfahani is not interesting in his presentations at all,0,"[8.501589254371353, -2.2970382243885807, -1.7886655567374425, -1.887785630207203, -1.0697571021444818]"
"so i will give one star because the title is misleading. I was expecting a course about responsive UI for website. But is yet again a basic introduction to HTML, CSS and JavaScript.",0,"[8.323545557232759, -2.0146465840815386, -2.4225909846717233, -2.4956463875818162, -1.0105166328897481]"
"Despite the arguments of this module are extremely interesting and very useful for Robotics, I think the way they are treated is very poor.In my opinion lectures are so superficial that it is almost a waste of time to follow them.Lectures are completely useless and most of the time quizzes are note related with them.In order to solve quizzes you have not only to recover prior knowledge, that it is obvious, but also to search for new arguments somwhere in the web, in some other courses where contents are better treated and explained. In that contest what are the quizzes, what should quizzes have to test if no content is given?Moreover it often happen that without a clear support from the lectures, questions are confused and ambiguous. It is quite difficult to follow the teaching path and to enrich my knowledge.I think it is a very bad way to make a course and often the pleasure to follow disappears leaving a sense of frustration and futility.I arrived at the end of the course just because I'm doing the specialization otherwise I would have left in the middle of the first week.I'm very disappointed.",0,"[9.861037425151293, -1.9496523289214984, -1.0633112329961378, -2.9181908513288066, -1.6126226690556371]"
This course is not relevant in the real world.,0,"[9.846648354181397, -1.9810992404398826, -1.0297548722550343, -2.403669151626426, -2.791530414305841]"
"I was expecting something else, very basic information.",0,"[9.838227727553033, -1.8018788449113863, -2.344019787043244, -2.022268114002934, -2.7238655960981744]"
This course is really bad. The instruction is not enough to solve the programming assignment. The almost contents aren't related to communicating data science result.,0,"[8.302891163998833, -2.100603522843485, -1.8271963944340337, -1.8299514353521822, -1.4384152226338855]"
"Course could have earn my stars.Money, money, money is not the way to go.",0,"[9.445247624704393, -1.9242426011525806, -2.7741834613891996, -1.8670108919591695, -1.6697082769805704]"
bad instructor,0,"[8.694918551245975, -2.0068878119383404, -2.7950274695070076, -1.8014077035245357, -1.892474718626329]"
Only catered to the American healthcare system. This course was not mind numbingly boring as hell,0,"[8.53643497871453, -2.2832840231533655, -2.2965359491787085, -1.8097611958432107, -2.208457975623494]"
"animations, animations and animations...",0,"[8.717993211087402, -2.208128502381153, -2.1247143668785187, -1.866131939349203, -1.8066586160763078]"
The worst! I don't recommend you to take any course from this institute. It is just wasting time and money.,0,"[9.777030458010763, -2.831424732298667, -1.5448115013289687, -2.324058020990118, -1.9562624770863999]"
"This was really disappointing.There is almost no connection between the experience of the lectures (and that's all the videos are - lectures that track a PowerPoint presentation) and the assignments, quizzes, etc. Reference and source materials are frequently mentioned in passing, but there is no comprehensive list of works cited anywhere. The assignments are often vaguely described and, in more than one case, were described entirely differently in different places.I have nothing good to say about this experience. You're watching a fundamentally disconnected series of mostly ad-hoc discussions of vague concepts. A simple list of books to read would be much more valuable.This is by far the worst MOOC I've taken, from any source, in any discipline. The fact that it actually costs money simply adds to the pain.",0,"[9.882528904553157, -1.7377028643724, -2.995942132884713, -2.8529918860176537, -2.3999660070503532]"
Disorganized.,0,"[8.608802255466669, -2.646799114754164, -2.17104319093825, -1.1296394875076685, -1.432142057828016]"
"Did not like the course, complicated concepts and poor representation. ( i still really really appreciate the efforts of those who put it together with their hard work)",0,"[9.07106315569668, -1.8914428965621626, -2.6394360483860746, -2.2397940935460006, -2.133209772406365]"
"This course is garbage. The instruction videos are fine, but the assignments are imprecise in their language at times, and there are certain key points needed to complete them that aren't covered in the videos. The mentor in the forums is lousy, and his responses are worded as if he's talking with a peer and not a beginner/student.I may or may not try another coursera course after this. But if this experience is any indication, Coursera isn't very good. The same UofM course appears over on Udemy, and I wonder if it is just being repurposed on as many platforms as possible without the care needed to make sure it works.",0,"[9.612642333587925, -1.3696412777474745, -2.798238225021251, -2.0586486466872316, -1.9778472119923758]"
"In my opinion:The topics reviewed were too haphazardly selected.The citations for quoted research were hard to impossible to find,The course focused disproportionately on the lecturer's commercial ventures.",0,"[8.76546243362576, -2.4566046545578337, -1.2891626547249853, -1.1397371512850634, -1.5086039040011976]"
if you do not have a background in statistics do not expect to pass this course,0,"[9.33946849096902, -2.9005033566199274, -1.7032477997431237, -1.9703013092597377, -2.809302475570758]"
This is a joke right?5 minutes long videos with questions after it shall teach me effective?!you guys are ridiculous!,0,"[8.748018832122987, -1.7043069833788624, -1.0889593852459105, -1.1087387841861576, -2.102485443082115]"
"difficulf...very difficult, guys",0,"[9.104404274851905, -2.552864918453404, -2.2614334897266843, -1.5993366450612367, -2.6423430984358003]"
"Personally, I strongly doubt that putting a bunch of slides and a few auto-graded exercises is the best way to learn about logic. Why then Stanford University doesn't just email his students this material and let them work on their own instead of doing lectures?I don't see the added value at all. Apart from being able to discuss the topic in the forum with other online students, what's the advantage in comparison to buying a book and doing the exercises there?This course to me started off with the wrong foot. No info on the starting date of the course until the end of September, when instead the course was supposed to start at the beginning of the month. And now the complete absence of videos. This to me seems more like a fuck up on the side of Coursera, which didn't find an agreement with Stanford University so no material had been produced until now. Then, in order not to completely ruin its reputation, Coursera put a bunch of slides calling it an online course and expecting people to buy this lie.I might be wrong and this could be only my theory and nothing else, however, I won't recommend Coursera to anyone after this. Very bad feedback so far, and the funny thing is that I had big expectations before the start.Hope this will be taken as constructive feedback and not as a complaint.",0,"[8.453766782661104, -2.328483564313193, -1.7759603593938045, -1.1064936717563276, -2.159684764188503]"
"No option of completing the course without paying. So why do you call your site FREE online courses? And why do we have to go into the trouble of attending the class and watching the videos, and reading the material without being capable of at least watching our results in assignments?",0,"[9.671434173390523, -1.9421515108625118, -2.7342724574407975, -2.533578661697885, -2.323551987945322]"
"Really dreadful: absurdly fast progress, with really dry graphics, where they cover the history of economics in about 30 minutes! To make things worse, the lecturer (who doesn't appear in the videos) speaks incredibly fast, while graphs and bullet point lists fly by on the screen. There's not time to process the information and complicated terms and processes are explained in just a few seconds.I'm disappointed as it looked like an interesting course but doesn't live up to some of the really great courses available which employ great teaching and delivery.",0,"[8.768057725381446, -2.902971378148316, -2.156170947491159, -1.5832477868028814, -2.5469543619136275]"
"A lot of theoretical stuff, nothing for practice; awful final exam strategy, the course encourages learning by heart without any thinking; advice: to help non english students (like me), make the lectures not overlapping the subtitles",0,"[8.354165633098642, -1.3085964967324573, -2.492956559002919, -2.6970502408957238, -2.7198643831087344]"
"Sorry, the guy in the first video doesn't blink, which is very weird. The second video was so incredibly dry and boring that I completely lost interest. I know this could be a fascinating course with the proper videos and visuals to help people understand it.",0,"[8.660817625504432, -2.572814333221965, -1.7573723928038634, -1.2557158524326193, -2.5811546497065834]"
I'm not able to submit my assignments,0,"[8.857590848948231, -2.00241462203064, -2.038311214051361, -1.370923569383203, -2.9952134323378505]"
"Course work was entirely optional and only started at the end of week 2. The required level of involvement was too low to be helpful. I don't learn well just watching lectures - I can get that much from YouTube!!! However, I expect a bit more when paying $500 for a specialisation.The first module in the series was too basic but at least there was a lot of coding involved. This (second) module didn't even have that.",0,"[9.272746342585343, -2.061140106666618, -1.3164190583542414, -2.3915020673006575, -1.7951167339861414]"
"The EEPROM project in week 3 is undoable with the specified simulator, as the simulator is simply not functional. I tested different computers, windows and mac operating systems, different browsers, different security settings, etc. Nothing works. The assignment is also way beyond the level of an introductory course. In addition, the complete lack of discussion forums attached to the course suggests that it is preferable to shut off discussion than to address the problems. Speaking of which, a search of the general forums indicate that this has been an ongoing issue since the latter half of 2015. Seriously, what the hell? Many people don't have a ton of extra money to throw away on garbage, and you are selling a defective product.",0,"[9.615535642158555, -2.458391143819638, -1.4222239719564973, -2.425449089897795, -1.8136697947081402]"
Not a course that helps you solve wicked problems which do not have solutions that will come suddenly one fine day and ones that require more thought effort and brainstorming.,0,"[8.80996752048793, -2.97518101439608, -2.045761380387993, -2.9500234089367696, -1.1496806279288712]"
"Very knowledgeable professors, but very little explanation or actual 'teaching'. Graded assignments require a lot of self-education.",0,"[8.646488904298584, -2.295156082952169, -1.743814685160151, -1.2830107668677864, -2.7744850711901927]"
"Concepts are fantastic but the material developed to deliver the course is short of expectations, especially from a university. Excel sheets do not match what is demonstrated in video lectures, lots of confusion around how to complete tasks, quiz answer options not being correct, and missing Excel spreadsheets (e.g. video lecture says to refer to accompanying excel spreadsheet, but no spreadsheet available). Also, judging from past discussions by students, some inconsistencies around formulas being presented in video lectures versus assignment questions. could have been a great course, but the inconsistencies have made is very disappointing.",0,"[9.054645437480373, -2.591880960432118, -1.400649730264774, -1.1207632690599458, -2.5424633911474315]"
Peer to peer assignments are really slow and due time dependent.,0,"[9.20410716829341, -1.3823530371308947, -1.0818624594870145, -2.0552620903150487, -1.0685717353392339]"
"Course 1 was really enriching, but this second stage didn't achieve the level that it's supposed, videos should be remake in order to connect with learners, materials should be upgrade to fulfill expectations.",0,"[9.937570304965265, -2.4993609413238937, -1.303910627099227, -1.6248347762133397, -1.1457268559860059]"
"The course presents lots of concepts and papers, but it doesn't really seems applicable in reality.It felt too ""fluffy"" and subjective to me.",0,"[8.315178894710463, -2.34994524375668, -1.1553083134633377, -1.1145118662892448, -2.4296115752074834]"
